苏州科技大学,"210.29.0.0/20	"
苏州科技大学,218.4.251.224-218.4.251.255
苏州科技大学,222.92.237.192-222.92.237.223
苏州科技大学,58.240.215.224-58.240.215.255
苏州科技大学,58.210.239.208-58.210.239.213
苏州科技大学,112.25.182.208-112.25.182.223
苏州科技大学,112.25.158.80-112.25.158.95
苏州科技大学,221.178.226.64-221.178.226.79
常熟理工学院,"210.28.160.0/21	"
常熟理工学院,61.155.18.0/27
常熟理工学院,221.224.149.240/27
常熟理工学院,112.4.83.32/27
常熟理工学院,2001:250:5003::/48
淮阴工学院,"210.29.152.0/21	"
淮阴工学院,222.184.15.224/27
淮阴工学院,112.25.218.130/26
淮阴工学院,2001:250:500C::/48
常州工学院,218.93.117.81/28
常州工学院,58.216.183.241/29
常州工学院,221.131.88.129/27
常州工学院,122.195.54.89/30
常州工学院,122.195.54.93/30
常州工学院,172.16.251.21/30
常州工学院,2001:DA8:1022::/48
常州工学院,"58.193.144.0/21	"
常州工学院,"211.70.96.0/20	"
常州工学院,58.216.51.177/28
常州工学院,218.93.119.193/29
扬州大学,2001:DA8:100F::/48
扬州大学,"222.192.192.0/19	"
扬州大学,"58.192.80.0/20	"
扬州大学,"180.208.0.0/19	"
扬州大学,"58.192.128.0/20	"
扬州大学,"202.195.48.0/20	"
扬州大学,"211.87.16.0/20	"
扬州大学,"58.200.80.0/25	"
扬州大学,211.103.35.0-211.103.35.15
扬州大学,112.4.211.0-112.4.211.127
扬州大学,112.4.210.72-112.4.210.79
扬州大学,58.241.131.192/27
扬州大学,122.195.141.96/27
扬州大学,122.195.141.0/27
扬州大学,58.241.132.168/29
扬州大学,112.84.130.160/28
扬州大学,122.195.136.240/30
扬州大学,122.195.136.244/30
扬州大学,112.84.132.0/29
扬州大学,221.6.163.212/30
扬州大学,58.241.131.28/30
扬州大学,61.155.60.240-61.155.60.255
扬州大学,61.177.188.48-61.177.188.63
扬州大学,61.177.186.32-61.177.186.63
扬州大学,221.229.125.0-221.229.125.15
扬州大学,61.177.188.48-61.177.188.63
扬州大学,221.229.119.65-221.229.119.79
扬州大学,58.220.193.192-58.220.193.223
扬州大学,58.220.102.0-58.220.102.63
扬州大学,58.223.192.0-58.223.192.63
三江学院,"222.193.176.0/20	"
三江学院,218.94.104.193-218.94.104.213
三江学院,222.190.127.1-222.190.127.22
南京工程学院,2001:DA8:1027::/48
南京工程学院,"202.119.160.0/21	"
南京工程学院,"121.248.176.0/21	"
南京工程学院,"101.76.64.0/19	"
南京工程学院,"210.29.160.0/21	"
南京工程学院,"210.29.16.0/20	"
南京审计大学,"211.65.224.0/21	"
南京审计大学,"180.209.112.0/21	"
南京审计大学,"180.209.124.0/23	"
南京审计大学,"180.209.120.0/22	"
南京审计大学,"210.28.92.0/23	"
南京晓庄学院,221.226.0.114-221.226.0.123
南京晓庄学院,221.226.191.50-221.226.191.59
南京晓庄学院,58.213.152.82-58.213.152.94
南京晓庄学院,2001:DA8:1023::/48
南京晓庄学院,218.2.184.98-218.2.184.126
南京晓庄学院,211.65.207.190-211.65.207.190
南京晓庄学院,218.206.101.34-218.206.101.38
南京晓庄学院,"114.213.48.0/21	"
南京晓庄学院,"219.230.48.0/20	"
南京晓庄学院,"210.28.95.0/24	"
南京晓庄学院,"210.29.144.0/22	"
江苏理工学院,"210.29.192.0/20	"
淮海工学院,"58.192.0.0/19	"
淮海工学院,"219.219.80.0/20	"
淮海工学院,"210.28.32.0/20	"
淮海工学院,2001:250:500E::/48
徐州工程学院,"180.209.128.0/18	"
徐州工程学院,"211.65.116.0/22	"
徐州工程学院,"211.87.112.0/20	"
徐州工程学院,"219.219.240.0/20	"
徐州工程学院,222.187.46.128/25
徐州工程学院,2001:250:5020::/48
南京特殊教育师范学院,222.192.176.1-222.192.179.255
南京特殊教育师范学院,2001:250:501F::/48
南通理工学院,58.221.183.97/27
南通理工学院,58.221.169.98/28
南通理工学院,58.221.135.117/30
南通理工学院,122.192.1.210/28
南通理工学院,122.192.1.174/30
南通理工学院,223.113.12.33/27
南通理工学院,223.113.11.225/27
南通理工学院,58.193.88.0/23
南通理工学院,58.221.161.10/32
南通理工学院,58.221.151.222/32
