jx.ntu.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
cwc.jsmc.edu.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
app.nua.edu.cn,Y,Error: cannot connect,N,Error: timeout,Error: cannot resolve,Error: cannot resolve
apis.njxzc.edu.cn,N,Y,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
www.njpi.edu.cn/xcb,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
photo2018.usts.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
jwb.njrts.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
dcljk.yzu.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
ecard.njts.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
asp1.ujs.edu.cn,N,Error code:51,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
pac.suda.edu.cn,Y,Error code:51,N,Y,Error: cannot connect,N
shenbao.wxstc.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
cehui.njfu.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
map.jssvc.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
e.szitu.cn,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
mooc1.njue.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
jjystatic.cczu.edu.cn,Error: timeout,Error: cannot connect,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
eclass.ntu.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
ecetech.cczu.edu.cn,Y,Error: cannot connect,N,Error: cannot connect,Error: cannot connect,Error: cannot connect
zs.ntgx.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
jszyjn.yctc.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
sql.bjxy.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
